AT1G01010	362	614	768	122	390	580	280	329	243
AT1G01020	648	760	685	153	649	426	625	489	342
AT1G01030	57	139	107	20	87	85	69	96	46
AT1G01040	1017	1423	1763	598	1028	1362	1060	1201	990
AT1G01050	735	1183	1164	160	913	777	741	647	580
AT1G01060	4804	4144	5847	1329	2880	3601	4496	2760	1922
AT1G01070	296	463	366	90	368	337	205	213	235
AT1G01080	1672	2094	1768	557	1331	1806	1396	1402	1406
AT1G01090	4899	6637	6747	1733	4357	5212	5744	4837	4563
AT1G01100	5949	7434	9336	3560	6679	7131	7177	5729	5889
AT1G01110	67	36	256	18	50	72	27	116	55
AT1G01120	891	1252	1859	208	995	1045	1058	879	868
AT1G01130	92	127	216	120	93	118	98	65	181
AT1G01140	1456	1994	1993	524	1357	1605	1043	1367	1037
AT1G01150	2	4	1	0	5	3	1	3	10
AT1G01160	785	1110	1236	328	633	726	718	695	673
AT1G01170	1144	1324	1211	348	1068	1181	992	1028	956
AT1G01180	267	258	189	119	163	309	252	252	261
AT1G01190	64	202	367	27	183	74	63	69	84
AT1G01200	11	25	61	13	12	32	8	32	24
AT1G01210	272	570	289	95	289	267	261	359	231
AT1G01220	1053	1499	1400	481	1050	1097	955	1014	1132
AT1G01225	133	216	195	60	79	116	89	99	144
AT1G01230	581	822	688	187	676	615	599	610	462
AT1G01240	1241	1476	1758	501	1565	1576	1005	1179	1108
AT1G01250	19	10	2	2	0	9	0	0	3
AT1G01260	654	953	1533	156	764	875	913	693	544
AT1G01280	0	0	0	0	0	0	0	0	0
AT1G01290	327	340	396	122	267	419	220	265	216
AT1G01300	349	990	615	356	589	595	576	478	654
AT1G01305	0	0	0	0	0	0	0	0	0
AT1G01310	0	0	5	0	9	0	0	0	0
AT1G01320	6137	8151	10629	2670	5591	7957	6583	6898	4875
AT1G01335	0	0	0	0	0	0	0	0	0
AT1G01340	354	489	610	179	304	397	486	325	429
AT1G01350	933	969	1436	422	1046	797	685	586	931
AT1G01355	0	0	0	0	0	0	0	17	0
AT1G01360	254	270	397	88	206	228	200	238	176
AT1G01370	24	179	57	13	80	60	107	45	76
AT1G01380	12	90	42	17	30	40	43	38	43
AT1G01390	51	69	27	7	42	39	45	59	52
AT1G01400	0	0	0	0	0	0	0	0	0
AT1G01410	0	0	0	0	0	0	0	0	0
AT1G01420	197	166	323	186	105	185	111	112	227
AT1G01430	930	1465	1602	442	1504	1139	859	1085	1396
AT1G01440	402	517	709	96	490	632	616	572	444
AT1G01450	0	0	0	0	0	0	0	0	0
